[I][2022-02-10 +80 15:57:38.879][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:38.980][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:39.080][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:39.181][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:39.280][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:39.380][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:39.481][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:39.581][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:39.682][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:39.783][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:39.883][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:39.984][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:40.084][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:40.184][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:40.284][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:40.384][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:40.484][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:40.585][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:40.685][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:40.786][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:40.887][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:40.987][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:41.088][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:41.188][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:41.289][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:41.390][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:41.490][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:41.590][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:41.691][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:41.791][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:41.892][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:41.992][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:42.092][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:42.193][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:42.293][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:42.393][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:42.494][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:42.595][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:42.695][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:42.795][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:42.896][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
